"","periodo","periodo_fecha","precios"
"483","2022-1","1/01/2022",993486000
"484","2022-1","1/01/2022",234675000
"485","2022-1","1/01/2022",242735500
"486","2022-1","1/01/2022",283464900
"487","2022-1","1/01/2022",521280000
"488","2022-1","1/01/2022",372588000
"489","2022-1","1/01/2022",5.36e+08
"490","2022-1","1/01/2022",338404000
"491","2022-1","1/01/2022",1.85e+08
"492","2022-1","1/01/2022",286900000
"493","2022-1","1/01/2022",711200000
"494","2022-1","1/01/2022",593154500
"495","2022-1","1/01/2022",605817000
"496","2022-1","1/01/2022",150200000
"497","2022-1","1/01/2022",233600000
"498","2022-1","1/01/2022",131700000
"499","2022-1","1/01/2022",5.65e+08
"500","2022-1","1/01/2022",4.8e+08
"501","2022-1","1/01/2022",6.95e+08
"502","2022-1","1/01/2022",314883821
"503","2022-1","1/01/2022",1.25e+08
"504","2022-1","1/01/2022",417900000
"505","2022-1","1/01/2022",3.45e+08
"506","2022-1","1/01/2022",1303430625
"507","2022-1","1/01/2022",129150000
"508","2022-1","1/01/2022",1223640000
"509","2022-1","1/01/2022",8.3e+07
"510","2022-1","1/01/2022",1.3e+08
"511","2022-1","1/01/2022",2.34e+08
"512","2022-1","1/01/2022",139965178
"513","2022-1","1/01/2022",472459500
"514","2022-1","1/01/2022",325566000
"515","2022-1","1/01/2022",281532638
"516","2022-1","1/01/2022",249652000
"517","2022-1","1/01/2022",686824850
"518","2022-1","1/01/2022",924373800
"519","2022-1","1/01/2022",284900000
"520","2022-1","1/01/2022",1.85e+08
"521","2022-1","1/01/2022",163326000
"522","2022-1","1/01/2022",162558000
"523","2022-1","1/01/2022",762447956
"524","2022-1","1/01/2022",105080000
"525","2022-1","1/01/2022",356226250
"526","2022-1","1/01/2022",147356400
"527","2022-1","1/01/2022",86700000
"528","2022-1","1/01/2022",5.24e+08
"529","2022-1","1/01/2022",2.8e+08
"530","2022-1","1/01/2022",230285000
"531","2022-1","1/01/2022",307575000
"532","2022-1","1/01/2022",548102000
"533","2022-1","1/01/2022",2.73e+08
"534","2022-1","1/01/2022",578500000
"535","2022-1","1/01/2022",226565000
"536","2022-1","1/01/2022",153036000
